generation,pi
1137,1.3475e-05
1138,1.35643e-05
1139,1.35952e-05
1140,1.36016e-05
1141,1.35259e-05
1142,1.36375e-05
1143,1.35656e-05
1144,1.36559e-05
1145,1.3725e-05
1146,1.37137e-05
1147,1.37171e-05
1148,1.37371e-05
1149,1.37619e-05
1150,1.37375e-05
1151,1.36804e-05
1152,1.36396e-05
1153,1.35957e-05
1154,1.36289e-05
1155,1.36578e-05
1156,1.3709e-05
1157,1.36866e-05
1158,1.36762e-05
1159,1.36617e-05
1160,1.37163e-05
1161,1.36535e-05
1162,1.35597e-05
1163,1.35768e-05
1164,1.35473e-05
1165,1.35101e-05
1166,1.3504e-05
1167,1.34289e-05
1168,1.3441e-05
1169,1.35536e-05
1170,1.34354e-05
1171,1.34751e-05
1172,1.34558e-05
1173,1.35111e-05
1174,1.34777e-05
1175,1.34742e-05
1176,1.35275e-05
1177,1.35232e-05
1178,1.35485e-05
1179,1.36176e-05
1180,1.36335e-05
1181,1.35352e-05
1182,1.35818e-05
1183,1.36082e-05
1184,1.36363e-05
1185,1.37368e-05
1186,1.37556e-05
1187,1.36983e-05
1188,1.37632e-05
1189,1.36196e-05
1190,1.3564e-05
1191,1.36826e-05
1192,1.36372e-05
1193,1.35827e-05
1194,1.36493e-05
1195,1.36335e-05
1196,1.36045e-05
1197,1.35796e-05
1198,1.34188e-05
1199,1.34831e-05
1200,1.34199e-05
1201,1.33816e-05
1202,1.33748e-05
1203,1.34508e-05
1204,1.34976e-05
1205,1.35484e-05
1206,1.35385e-05
1207,1.35404e-05
1208,1.35581e-05
1209,1.35334e-05
1210,1.34162e-05
1211,1.34919e-05
1212,1.34295e-05
1213,1.34673e-05
1214,1.34569e-05
1215,1.34323e-05
1216,1.34416e-05
1217,1.35069e-05
1218,1.3554e-05
1219,1.35562e-05
1220,1.36359e-05
1221,1.37727e-05
1222,1.37546e-05
1223,1.39422e-05
1224,1.40204e-05
1225,1.40229e-05
1226,1.40185e-05
1227,1.40862e-05
1228,1.41507e-05
1229,1.4148e-05
1230,1.42186e-05
1231,1.4247e-05
1232,1.42362e-05
1233,1.42488e-05
1234,1.43608e-05
1235,1.44255e-05
1236,1.44014e-05
1237,1.4434e-05
1238,1.44411e-05
1239,1.44307e-05
1240,1.44223e-05
1241,1.44353e-05
1242,1.43626e-05
1243,1.43759e-05
1244,1.43867e-05
1245,1.4325e-05
1246,1.43118e-05
1247,1.44315e-05
